PRMINFO,index,address,xnum,ynum,minimum,maximum,default,,unit,type,attrib,scaling
,49,MIXER:Current/StInCh/Surr/LsOn,16,1,0,1,1,,integer,any,rw,1
,46,MIXER:Current/StInCh/Surr/ROn,16,1,0,1,1,,integer,any,rw,1
,50,MIXER:Current/StInCh/Surr/RsOn,16,1,0,1,1,,integer,any,rw,1
,225,MIXER:Current/StInCh/ToMix/Level,16,24,-32768,1000,-32768,,integer,any,rw,1
,226,MIXER:Current/StInCh/ToMix/On,16,24,0,1,1,,integer,any,rw,1
,251,MIXER:Current/StInCh/ToMix/Pan,16,24,-63,63,0,,integer,any,rw,1
,252,MIXER:Current/StInCh/ToMix/PrePost,16,24,0,1,0,,integer,any,rw,1
,78,MIXER:Current/StInCh/ToMtrx/Level,16,8,-32768,1000,-32768,,integer,any,rw,1
,79,MIXER:Current/StInCh/ToMtrx/On,16,8,0,1,1,,integer,any,rw,1
,144,MIXER:Current/StInCh/ToMtrx/Pan,16,8,-63,63,0,,integer,any,rw,1
,145,MIXER:Current/StInCh/ToMtrx/PrePost,16,8,0,1,0,,integer,any,rw,1
,16,MIXER:Current/StInCh/ToSt/Pan,16,1,-63,63,0,,integer,any,rw,1
,24,MIXER:Current/SurrMode,1,1,0,1,0,,integer,any,r,1
,142,MIXER:Setup/MonitorMix/Password,1,1,0,24,,,string,any,r,1
